id_venda,id_vendedor,id_produto,produto,categoria,data_venda,quantidade,valor_total,cidade,idEstado
2035,6,14,SSD Externo Portatil 500GB,Armazenamento,2025-11-01,12,5868.0,Rio Branco,1
2036,5,21,Teclado Mecanico Compacto 60%,Teclado,2025-09-05,38,12156.2,Salvador,5
2037,1,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-06-19,36,19800.0,Curitiba,16
2038,6,18,Cabo HDMI 2.1 3 Metros,Cabo,2025-02-23,26,1557.4,Teresina,18
2039,4,7,Caixa de Som USB 2.0,Audio,2025-10-21,30,2550.0,Florianopolis,24
2040,2,21,Teclado Mecanico Compacto 60%,Teclado,2024-10-25,24,7677.6,Maceio,2
2041,2,7,Caixa de Som USB 2.0,Audio,2025-03-01,17,1445.0,Aracaju,26
2042,1,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-06-05,16,30398.4,Fortaleza,6
2043,4,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-10-20,13,7150.0,Campo Grande,12
2044,2,34,Dock Station para Notebook,Adaptador,2025-05-19,28,11760.0,Rio de Janeiro,19
2045,6,4,Webcam Full HD 1080p c/ Microfone,Camera,2025-08-12,40,7980.0,Florianopolis,24
2046,3,8,Microfone Condensador Profissional,Audio,2025-10-01,40,18000.0,Belem,14
2047,4,6,"Monitor Curvo 27"" 144Hz",Monitor,2024-10-22,38,72196.2,Maceio,2
2048,6,37,Fone de Ouvido Headband Com Fio,Audio,2025-02-17,17,603.5,Fortaleza,6
2049,2,25,Mousepad RGB Extendido,Acessorio,2025-01-18,26,2314.0,Brasilia,7
2050,1,36,Mouse sem Fio Silencioso,Mouse,2025-11-16,13,908.7,Natal,20
2051,4,5,Mousepad Grande Speed,Acessorio,2025-04-28,7,321.3,Cuiaba,11
2052,5,39,No-break 600VA Bivolt,Energia,2025-11-29,31,9920.0,Rio de Janeiro,19
2053,4,9,Controle Sem Fio para PC,Input Device,2025-05-30,8,1760.0,Belo Horizonte,13
2054,4,29,Mouse Optico Simples USB,Mouse,2025-04-07,4,100.0,Salvador,5
2055,4,9,Controle Sem Fio para PC,Input Device,2025-06-02,22,4840.0,Belem,14
2056,1,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-05-06,29,7830.0,Campo Grande,12
2057,1,21,Teclado Mecanico Compacto 60%,Teclado,2025-10-31,38,12156.2,Macapa,3
2058,4,26,Placa de Captura Externa 4K,Video,2025-09-27,26,20280.0,Salvador,5
2059,1,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-09-30,14,7700.0,Belem,14
2060,3,26,Placa de Captura Externa 4K,Video,2024-11-09,2,1560.0,Boa Vista,23
2061,6,14,SSD Externo Portatil 500GB,Armazenamento,2025-03-06,37,18093.0,Goiania,9
2062,3,32,Leitor de Cartao de Memoria,Acessorio,2025-02-22,3,105.0,Belem,14
2063,4,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-01-28,7,13299.3,Brasilia,7
2064,5,10,Hub USB-C 7-em-1,Adaptador,2025-09-25,14,1818.6,Belo Horizonte,13
2065,6,30,Caixa de Som Bluetooth Portatil,Audio,2025-02-28,35,5250.0,Aracaju,26
2066,5,25,Mousepad RGB Extendido,Acessorio,2025-09-20,10,890.0,Florianopolis,24
2067,6,2,Teclado Mecanico TKL Switch Azul,Teclado,2025-02-24,37,14429.63,Cuiaba,11
2068,6,17,Cadeira Gamer Reclinavel,Mobiliario,2025-06-19,24,28776.0,Goiania,9
2069,4,5,Mousepad Grande Speed,Acessorio,2025-02-17,22,1009.8,Porto Alegre,21
2070,6,8,Microfone Condensador Profissional,Audio,2025-06-21,37,16650.0,Palmas,27
2071,1,23,Headset USB com Microfone Flexivel,Audio,2025-07-16,31,5440.5,Recife,17
2072,3,39,No-break 600VA Bivolt,Energia,2024-11-18,23,7360.0,Maceio,2
2073,1,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-07-16,36,9720.0,Florianopolis,24
2074,1,10,Hub USB-C 7-em-1,Adaptador,2025-02-03,30,3897.0,Sao Luis,10
2075,1,39,No-break 600VA Bivolt,Energia,2025-04-23,26,8320.0,Curitiba,16
2076,4,4,Webcam Full HD 1080p c/ Microfone,Camera,2024-12-05,22,4389.0,Belem,14
2077,6,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-09-29,31,17050.0,Macapa,3
2078,4,3,Headset Gamer 7.1 Surround,Audio,2025-11-08,21,6279.0,Rio de Janeiro,19
2079,4,30,Caixa de Som Bluetooth Portatil,Audio,2025-09-18,30,4500.0,Maceio,2
2080,5,32,Leitor de Cartao de Memoria,Acessorio,2025-10-26,22,770.0,Teresina,18
2081,3,10,Hub USB-C 7-em-1,Adaptador,2025-09-26,3,389.7,Brasilia,7
2082,4,2,Teclado Mecanico TKL Switch Azul,Teclado,2025-04-15,4,1559.96,Rio Branco,1
2083,6,31,Hub USB 3.0 de 4 Portas,Adaptador,2025-07-05,2,110.0,Aracaju,26
2084,1,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-03-04,35,90999.65,Belem,14
2085,4,19,Cooler para Notebook com RGB,Refrigeracao,2025-07-25,29,3190.0,Recife,17
2086,3,38,Projetor Portatil Mini LED,Video,2024-11-17,4,4600.0,Natal,20
2087,5,13,Pen Drive USB 3.0 128GB,Armazenamento,2024-12-12,22,1661.0,Florianopolis,24
2088,6,11,Teclado Sem Fio Ergonomico,Teclado,2025-05-02,2,319.98,Rio de Janeiro,19
2089,2,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-02-21,35,90999.65,Teresina,18
2090,5,34,Dock Station para Notebook,Adaptador,2025-02-11,22,9240.0,Belem,14
2091,3,30,Caixa de Som Bluetooth Portatil,Audio,2025-04-15,17,2550.0,Boa Vista,23
2092,1,19,Cooler para Notebook com RGB,Refrigeracao,2025-11-15,27,2970.0,Florianopolis,24
2093,6,31,Hub USB 3.0 de 4 Portas,Adaptador,2025-07-05,24,1320.0,Maceio,2
2094,3,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-01-26,32,17600.0,Rio Branco,1
2095,6,20,Adaptador de Rede Wi-Fi Dual Band,Rede,2025-07-12,33,2966.7,Manaus,4
2096,6,7,Caixa de Som USB 2.0,Audio,2025-06-03,16,1360.0,Florianopolis,24
2097,4,38,Projetor Portatil Mini LED,Video,2024-11-11,3,3450.0,Teresina,18
2098,4,15,Impressora Multifuncional Tanque de Tinta,Impressora,2025-06-21,20,19980.0,Recife,17
2099,6,14,SSD Externo Portatil 500GB,Armazenamento,2025-10-16,3,1467.0,Rio de Janeiro,19
2100,2,35,Teclado Numerico USB,Teclado,2025-03-09,12,598.8,Aracaju,26
2101,3,18,Cabo HDMI 2.1 3 Metros,Cabo,2024-10-29,30,1797.0,Boa Vista,23
2102,2,17,Cadeira Gamer Reclinavel,Mobiliario,2025-04-26,17,20383.0,Manaus,4
2103,2,38,Projetor Portatil Mini LED,Video,2025-10-17,17,19550.0,Vitoria,8
2104,3,14,SSD Externo Portatil 500GB,Armazenamento,2025-10-01,40,19560.0,Fortaleza,6
2105,2,5,Mousepad Grande Speed,Acessorio,2025-03-16,9,413.1,Belem,14
2106,5,39,No-break 600VA Bivolt,Energia,2025-03-02,38,12160.0,Campo Grande,12
2107,5,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-05-23,36,19800.0,Sao Luis,10
2108,6,30,Caixa de Som Bluetooth Portatil,Audio,2025-08-28,28,4200.0,Belem,14
2109,5,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-01-09,16,4320.0,Manaus,4
2110,6,3,Headset Gamer 7.1 Surround,Audio,2025-01-05,37,11063.0,Maceio,2
2111,5,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-01-16,31,80599.69,Maceio,2
2112,2,37,Fone de Ouvido Headband Com Fio,Audio,2025-08-28,7,248.5,Natal,20
2113,6,19,Cooler para Notebook com RGB,Refrigeracao,2025-02-20,40,4400.0,Sao Paulo,25
2114,3,1,Mouse Gamer Optico RGB,Mouse,2025-09-22,12,1798.8,Joao Pessoa,15
2115,5,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-11-02,14,26598.6,Belo Horizonte,13
2116,4,8,Microfone Condensador Profissional,Audio,2025-02-26,12,5400.0,Vitoria,8
2117,6,31,Hub USB 3.0 de 4 Portas,Adaptador,2025-03-24,28,1540.0,Porto Velho,22
2118,3,1,Mouse Gamer Optico RGB,Mouse,2025-03-26,40,5996.0,Boa Vista,23
2119,6,25,Mousepad RGB Extendido,Acessorio,2025-11-20,29,2581.0,Natal,20
2120,4,4,Webcam Full HD 1080p c/ Microfone,Camera,2025-03-22,14,2793.0,Natal,20
2121,5,3,Headset Gamer 7.1 Surround,Audio,2025-09-28,6,1794.0,Palmas,27
2122,6,18,Cabo HDMI 2.1 3 Metros,Cabo,2024-11-03,38,2276.2,Curitiba,16
2123,3,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-07-29,38,98799.62,Rio Branco,1
2124,6,36,Mouse sem Fio Silencioso,Mouse,2025-09-07,12,838.8,Porto Alegre,21
2125,3,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-07-03,2,151.0,Rio de Janeiro,19
2126,1,12,Mouse Vertical Ergonomico,Mouse,2024-11-10,3,299.7,Vitoria,8
2127,2,22,Mouse Gamer Sem Fio Recarregavel,Mouse,2025-07-09,32,7968.0,Cuiaba,11
2128,3,20,Adaptador de Rede Wi-Fi Dual Band,Rede,2024-12-19,27,2427.3,Sao Paulo,25
2129,1,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-05-27,6,1620.0,Brasilia,7
2130,3,23,Headset USB com Microfone Flexivel,Audio,2025-10-15,5,877.5,Rio de Janeiro,19
2131,2,40,Organizador de Cabos de Silicone (5un),Acessorio,2025-01-02,9,269.1,Palmas,27
2132,3,32,Leitor de Cartao de Memoria,Acessorio,2024-10-15,13,455.0,Recife,17
2133,1,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-09-02,2,3799.8,Brasilia,7
2134,2,5,Mousepad Grande Speed,Acessorio,2025-07-19,20,918.0,Belo Horizonte,13
2135,2,35,Teclado Numerico USB,Teclado,2025-01-16,32,1596.8,Macapa,3
2136,1,2,Teclado Mecanico TKL Switch Azul,Teclado,2024-12-31,3,1169.97,Vitoria,8
2137,2,30,Caixa de Som Bluetooth Portatil,Audio,2025-10-13,7,1050.0,Joao Pessoa,15
2138,6,18,Cabo HDMI 2.1 3 Metros,Cabo,2025-09-23,17,1018.3,Goiania,9
2139,2,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-11-01,16,30398.4,Cuiaba,11
2140,4,25,Mousepad RGB Extendido,Acessorio,2025-11-25,40,3560.0,Palmas,27
2141,4,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2024-10-12,21,11550.0,Rio Branco,1
2142,1,35,Teclado Numerico USB,Teclado,2025-04-27,11,548.9,Fortaleza,6
2143,2,19,Cooler para Notebook com RGB,Refrigeracao,2024-11-01,2,220.0,Manaus,4
2144,5,18,Cabo HDMI 2.1 3 Metros,Cabo,2025-06-08,11,658.9,Vitoria,8
2145,4,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-08-01,2,151.0,Rio Branco,1
2146,6,2,Teclado Mecanico TKL Switch Azul,Teclado,2025-03-30,33,12869.67,Campo Grande,12
2147,4,32,Leitor de Cartao de Memoria,Acessorio,2024-10-14,8,280.0,Boa Vista,23
2148,2,1,Mouse Gamer Optico RGB,Mouse,2025-06-16,14,2098.6,Teresina,18
2149,3,5,Mousepad Grande Speed,Acessorio,2025-06-07,7,321.3,Aracaju,26
2150,4,21,Teclado Mecanico Compacto 60%,Teclado,2025-10-17,31,9916.9,Sao Paulo,25
2151,5,40,Organizador de Cabos de Silicone (5un),Acessorio,2025-04-18,24,717.6,Maceio,2
2152,4,23,Headset USB com Microfone Flexivel,Audio,2024-11-22,6,1053.0,Rio Branco,1
2153,1,39,No-break 600VA Bivolt,Energia,2025-02-18,4,1280.0,Boa Vista,23
2154,2,23,Headset USB com Microfone Flexivel,Audio,2025-02-19,15,2632.5,Maceio,2
2155,6,28,Teclado de Membrana Silencioso,Teclado,2025-06-24,9,719.1,Natal,20
2156,4,20,Adaptador de Rede Wi-Fi Dual Band,Rede,2025-06-16,10,899.0,Florianopolis,24
2157,1,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-03-17,11,20898.9,Recife,17
2158,2,9,Controle Sem Fio para PC,Input Device,2025-09-29,26,5720.0,Porto Alegre,21
2159,4,14,SSD Externo Portatil 500GB,Armazenamento,2025-09-08,18,8802.0,Rio Branco,1
2160,5,28,Teclado de Membrana Silencioso,Teclado,2025-10-16,39,3116.1,Vitoria,8
2161,6,37,Fone de Ouvido Headband Com Fio,Audio,2025-04-11,5,177.5,Joao Pessoa,15
2162,1,26,Placa de Captura Externa 4K,Video,2025-07-15,39,30420.0,Recife,17
2163,2,9,Controle Sem Fio para PC,Input Device,2025-07-03,11,2420.0,Rio Branco,1
2164,3,23,Headset USB com Microfone Flexivel,Audio,2024-10-30,30,5265.0,Aracaju,26
2165,6,31,Hub USB 3.0 de 4 Portas,Adaptador,2024-10-10,11,605.0,Macapa,3
2166,4,12,Mouse Vertical Ergonomico,Mouse,2025-10-20,19,1898.1,Boa Vista,23
2167,6,39,No-break 600VA Bivolt,Energia,2025-10-16,19,6080.0,Rio de Janeiro,19
2168,6,9,Controle Sem Fio para PC,Input Device,2025-06-19,5,1100.0,Fortaleza,6
2169,3,3,Headset Gamer 7.1 Surround,Audio,2024-12-03,17,5083.0,Salvador,5
2170,3,35,Teclado Numerico USB,Teclado,2025-09-06,39,1946.1,Recife,17
2171,2,7,Caixa de Som USB 2.0,Audio,2025-03-16,18,1530.0,Curitiba,16
2172,1,36,Mouse sem Fio Silencioso,Mouse,2025-09-17,13,908.7,Manaus,4
2173,2,8,Microfone Condensador Profissional,Audio,2025-01-12,23,10350.0,Manaus,4
2174,1,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-08-28,16,1208.0,Brasilia,7
2175,3,26,Placa de Captura Externa 4K,Video,2025-10-07,15,11700.0,Porto Alegre,21
2176,1,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-07-09,12,6600.0,Goiania,9
2177,5,39,No-break 600VA Bivolt,Energia,2024-12-02,22,7040.0,Boa Vista,23
2178,5,38,Projetor Portatil Mini LED,Video,2024-11-24,2,2300.0,Sao Luis,10
2179,2,36,Mouse sem Fio Silencioso,Mouse,2024-11-11,27,1887.3,Rio de Janeiro,19
2180,3,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-07-07,5,1350.0,Boa Vista,23
2181,5,10,Hub USB-C 7-em-1,Adaptador,2025-01-12,34,4416.6,Recife,17
2182,2,5,Mousepad Grande Speed,Acessorio,2025-04-02,14,642.6,Boa Vista,23
2183,6,37,Fone de Ouvido Headband Com Fio,Audio,2025-06-22,3,106.5,Aracaju,26
2184,3,27,Webcam 4K Ultra HD,Camera,2025-10-15,25,9975.0,Salvador,5
2185,1,35,Teclado Numerico USB,Teclado,2025-02-26,17,848.3,Belo Horizonte,13
2186,6,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-01-06,1,75.5,Belem,14
2187,2,25,Mousepad RGB Extendido,Acessorio,2025-07-25,7,623.0,Goiania,9
2188,1,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-03-08,22,1661.0,Maceio,2
2189,6,10,Hub USB-C 7-em-1,Adaptador,2024-12-10,15,1948.5,Campo Grande,12
2190,1,37,Fone de Ouvido Headband Com Fio,Audio,2025-06-19,12,426.0,Teresina,18
2191,6,7,Caixa de Som USB 2.0,Audio,2024-12-14,26,2210.0,Rio de Janeiro,19
2192,1,17,Cadeira Gamer Reclinavel,Mobiliario,2024-12-02,14,16786.0,Porto Velho,22
2193,4,38,Projetor Portatil Mini LED,Video,2024-10-18,10,11500.0,Vitoria,8
2194,5,34,Dock Station para Notebook,Adaptador,2024-11-06,3,1260.0,Manaus,4
2195,3,2,Teclado Mecanico TKL Switch Azul,Teclado,2024-12-16,40,15599.6,Sao Paulo,25
2196,4,23,Headset USB com Microfone Flexivel,Audio,2025-10-16,23,4036.5,Aracaju,26
2197,4,23,Headset USB com Microfone Flexivel,Audio,2025-03-27,17,2983.5,Rio de Janeiro,19
2198,6,25,Mousepad RGB Extendido,Acessorio,2025-01-19,32,2848.0,Fortaleza,6
2199,1,37,Fone de Ouvido Headband Com Fio,Audio,2025-10-19,22,781.0,Palmas,27
2200,4,9,Controle Sem Fio para PC,Input Device,2025-07-27,18,3960.0,Rio Branco,1
2201,6,36,Mouse sem Fio Silencioso,Mouse,2025-08-21,22,1537.8,Palmas,27
2202,4,40,Organizador de Cabos de Silicone (5un),Acessorio,2024-12-26,16,478.4,Brasilia,7
2203,5,34,Dock Station para Notebook,Adaptador,2025-07-10,31,13020.0,Macapa,3
2204,4,27,Webcam 4K Ultra HD,Camera,2024-10-01,35,13965.0,Macapa,3
2205,5,31,Hub USB 3.0 de 4 Portas,Adaptador,2025-01-11,26,1430.0,Manaus,4
2206,3,35,Teclado Numerico USB,Teclado,2025-03-14,9,449.1,Vitoria,8
2207,2,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-01-28,35,90999.65,Boa Vista,23
2208,5,40,Organizador de Cabos de Silicone (5un),Acessorio,2025-11-16,2,59.8,Joao Pessoa,15
2209,4,12,Mouse Vertical Ergonomico,Mouse,2025-04-09,27,2697.3,Belo Horizonte,13
2210,5,15,Impressora Multifuncional Tanque de Tinta,Impressora,2025-11-11,23,22977.0,Recife,17
2211,1,13,Pen Drive USB 3.0 128GB,Armazenamento,2024-11-05,38,2869.0,Boa Vista,23
2212,1,12,Mouse Vertical Ergonomico,Mouse,2025-01-22,38,3796.2,Macapa,3
2213,6,28,Teclado de Membrana Silencioso,Teclado,2024-12-16,27,2157.3,Curitiba,16
2214,3,18,Cabo HDMI 2.1 3 Metros,Cabo,2025-05-21,8,479.2,Joao Pessoa,15
2215,2,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-08-21,6,15599.94,Macapa,3
2216,2,10,Hub USB-C 7-em-1,Adaptador,2024-10-10,39,5066.1,Natal,20
2217,5,3,Headset Gamer 7.1 Surround,Audio,2024-12-06,26,7774.0,Goiania,9
2218,1,38,Projetor Portatil Mini LED,Video,2025-07-24,35,40250.0,Florianopolis,24
2219,3,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-10-07,2,5199.98,Boa Vista,23
2220,6,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-05-24,27,14850.0,Rio Branco,1
2221,6,2,Teclado Mecanico TKL Switch Azul,Teclado,2024-12-16,3,1169.97,Florianopolis,24
2222,2,20,Adaptador de Rede Wi-Fi Dual Band,Rede,2025-11-02,27,2427.3,Campo Grande,12
2223,2,25,Mousepad RGB Extendido,Acessorio,2024-11-13,38,3382.0,Sao Paulo,25
2224,5,18,Cabo HDMI 2.1 3 Metros,Cabo,2025-02-25,21,1257.9,Palmas,27
2225,2,10,Hub USB-C 7-em-1,Adaptador,2025-08-13,19,2468.1,Teresina,18
2226,3,10,Hub USB-C 7-em-1,Adaptador,2024-12-04,40,5196.0,Macapa,3
2227,4,4,Webcam Full HD 1080p c/ Microfone,Camera,2024-11-27,33,6583.5,Curitiba,16
2228,4,38,Projetor Portatil Mini LED,Video,2025-10-04,38,43700.0,Palmas,27
2229,4,11,Teclado Sem Fio Ergonomico,Teclado,2024-11-05,18,2879.82,Sao Luis,10
2230,5,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-07-30,30,8100.0,Maceio,2
2231,1,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-09-07,13,981.5,Teresina,18
2232,4,40,Organizador de Cabos de Silicone (5un),Acessorio,2025-09-03,25,747.5,Sao Luis,10
2233,6,30,Caixa de Som Bluetooth Portatil,Audio,2025-03-15,35,5250.0,Florianopolis,24
2234,2,8,Microfone Condensador Profissional,Audio,2025-04-07,16,7200.0,Fortaleza,6
2235,2,38,Projetor Portatil Mini LED,Video,2025-05-16,8,9200.0,Aracaju,26
2236,3,6,"Monitor Curvo 27"" 144Hz",Monitor,2025-02-10,39,74096.1,Porto Velho,22
2237,1,7,Caixa de Som USB 2.0,Audio,2024-10-17,30,2550.0,Curitiba,16
2238,3,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-09-09,35,9450.0,Natal,20
2239,4,1,Mouse Gamer Optico RGB,Mouse,2025-04-28,13,1948.7,Sao Paulo,25
2240,1,36,Mouse sem Fio Silencioso,Mouse,2025-07-20,32,2236.8,Belo Horizonte,13
2241,5,23,Headset USB com Microfone Flexivel,Audio,2025-01-09,1,175.5,Natal,20
2242,3,28,Teclado de Membrana Silencioso,Teclado,2025-04-03,12,958.8,Florianopolis,24
2243,6,29,Mouse Optico Simples USB,Mouse,2024-11-04,7,175.0,Aracaju,26
2244,4,21,Teclado Mecanico Compacto 60%,Teclado,2025-06-23,26,8317.4,Porto Velho,22
2245,2,13,Pen Drive USB 3.0 128GB,Armazenamento,2024-12-03,24,1812.0,Goiania,9
2246,5,11,Teclado Sem Fio Ergonomico,Teclado,2025-06-20,7,1119.93,Porto Alegre,21
2247,5,23,Headset USB com Microfone Flexivel,Audio,2025-07-15,32,5616.0,Recife,17
2248,5,35,Teclado Numerico USB,Teclado,2025-07-11,36,1796.4,Teresina,18
2249,4,8,Microfone Condensador Profissional,Audio,2024-10-21,18,8100.0,Salvador,5
2250,5,29,Mouse Optico Simples USB,Mouse,2025-11-20,5,125.0,Campo Grande,12
2251,3,26,Placa de Captura Externa 4K,Video,2025-11-07,29,22620.0,Salvador,5
2252,6,10,Hub USB-C 7-em-1,Adaptador,2025-11-11,4,519.6,Campo Grande,12
2253,3,14,SSD Externo Portatil 500GB,Armazenamento,2025-05-15,38,18582.0,Curitiba,16
2254,3,30,Caixa de Som Bluetooth Portatil,Audio,2025-07-17,19,2850.0,Rio Branco,1
2255,5,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-08-19,6,15599.94,Sao Paulo,25
2256,3,22,Mouse Gamer Sem Fio Recarregavel,Mouse,2025-01-13,38,9462.0,Cuiaba,11
2257,5,35,Teclado Numerico USB,Teclado,2025-02-02,26,1297.4,Natal,20
2258,3,38,Projetor Portatil Mini LED,Video,2024-12-02,20,23000.0,Brasilia,7
2259,3,22,Mouse Gamer Sem Fio Recarregavel,Mouse,2025-02-09,22,5478.0,Macapa,3
2260,1,26,Placa de Captura Externa 4K,Video,2025-03-17,35,27300.0,Florianopolis,24
2261,2,21,Teclado Mecanico Compacto 60%,Teclado,2025-05-19,14,4478.6,Maceio,2
2262,5,17,Cadeira Gamer Reclinavel,Mobiliario,2025-01-10,11,13189.0,Manaus,4
2263,2,38,Projetor Portatil Mini LED,Video,2025-03-21,38,43700.0,Curitiba,16
2264,1,28,Teclado de Membrana Silencioso,Teclado,2025-08-26,13,1038.7,Porto Velho,22
2265,1,37,Fone de Ouvido Headband Com Fio,Audio,2024-12-12,6,213.0,Curitiba,16
2266,3,34,Dock Station para Notebook,Adaptador,2024-11-26,31,13020.0,Sao Luis,10
2267,1,37,Fone de Ouvido Headband Com Fio,Audio,2025-05-08,27,958.5,Porto Velho,22
2268,4,18,Cabo HDMI 2.1 3 Metros,Cabo,2025-01-15,12,718.8,Cuiaba,11
2269,1,14,SSD Externo Portatil 500GB,Armazenamento,2025-02-18,30,14670.0,Rio de Janeiro,19
2270,6,38,Projetor Portatil Mini LED,Video,2025-10-15,8,9200.0,Maceio,2
2271,3,25,Mousepad RGB Extendido,Acessorio,2025-08-09,34,3026.0,Porto Alegre,21
2272,3,11,Teclado Sem Fio Ergonomico,Teclado,2025-05-07,12,1919.88,Porto Alegre,21
2273,3,14,SSD Externo Portatil 500GB,Armazenamento,2024-11-04,12,5868.0,Campo Grande,12
2274,4,32,Leitor de Cartao de Memoria,Acessorio,2025-03-28,11,385.0,Salvador,5
2275,1,28,Teclado de Membrana Silencioso,Teclado,2025-08-08,25,1997.5,Macapa,3
